"","wojewodztwo","powiat_miasto","liczba_przypadkow","liczba_na_10_tys_mieszkancow","zgony","zgony_w_wyniku_covid_bez_chorob_wspolistniejacych","zgony_w_wyniku_covid_i_chorob_wspolistniejacych","liczba_zlecen_poz","liczba_ozdrowiencow","liczba_osob_objetych_kwarantanna","liczba_wykonanych_testow","liczba_testow_z_wynikiem_pozytywnym","liczba_testow_z_wynikiem_negatywnym","liczba_pozostalych_testow","teryt","stan_rekordu_na"
"1","Ca³y kraj","Ca³y kraj",7156,1.87,389,78,311,10686,4969,178510,47689,7923,39044,722,"t0000","2021-01-27"
"2","dolnoœl¹skie","boles³awiecki",22,2.44,2,0,2,22,28,404,243,61,179,3,"t0201","2021-01-27"
"3","dolnoœl¹skie","dzier¿oniowski",14,1.39,0,0,0,10,0,161,95,16,79,0,"t0202","2021-01-27"
"4","dolnoœl¹skie","g³ogowski",7,0.79,1,0,1,16,4,274,112,10,102,0,"t0203","2021-01-27"
"5","dolnoœl¹skie","górowski",3,0.86,0,0,0,5,2,69,41,3,37,1,"t0204","2021-01-27"
"6","dolnoœl¹skie","jaworski",11,2.2,0,0,0,10,0,158,59,11,45,3,"t0205","2021-01-27"
"7","dolnoœl¹skie","jeleniogórski",10,1.58,1,0,1,5,10,220,65,10,54,1,"t0206","2021-01-27"
"8","dolnoœl¹skie","kamiennogórski",5,1.16,0,0,0,2,0,76,48,6,40,2,"t0207","2021-01-27"
"9","dolnoœl¹skie","k³odzki",36,2.29,7,0,7,34,17,574,233,39,191,3,"t0208","2021-01-27"
"10","dolnoœl¹skie","legnicki",4,0.72,2,2,0,7,3,154,54,5,47,2,"t0209","2021-01-27"
"11","dolnoœl¹skie","lubañski",16,2.96,4,3,1,19,3,252,71,21,49,1,"t0210","2021-01-27"
"12","dolnoœl¹skie","lubiñski",32,3.02,0,0,0,26,9,212,378,38,331,9,"t0211","2021-01-27"
"13","dolnoœl¹skie","lwówecki",7,1.53,0,0,0,17,7,116,53,8,45,0,"t0212","2021-01-27"
"14","dolnoœl¹skie","milicki",2,0.54,0,0,0,6,3,96,33,2,31,0,"t0213","2021-01-27"
"15","dolnoœl¹skie","oleœnicki",15,1.4,0,0,0,24,19,336,110,20,89,1,"t0214","2021-01-27"
